1,"UWhen the villager gets the runs, he backs up the local sewage plant.U"
2,Uthe villager can hammer an nail into the wall with a roundhouse kickU
3,"UWhen the villager was 5, he went to the Mall to see Santa. Santa asked ""what would you like little boy, a train set? A bike? the villager replied ""no Santa, I want a rocket launcher"".U"
4,"Uthe villager shaves with a hunting knife. ""Shaving"" consists of cutting a new mouth-hole every morning. That's how tough his beard is.U"
5,Uthe villager can drink an entire gallon of milk in thirty-seven seconds.U
6,"UYou can lead a horse to water, but the villager can make him eat Tequila jello shots.U"
7,"Uthe villager can hit you so hard that he can actually alter your DNA. Decades from now your descendants will occasionally clutch their heads and yell ""What The Hell was That?"".U"
8,"UWhen the villager is in a crowded area, he doesn't walk around people. He walks through them.U"
9,"Uthe villager is an unlockable Character on the new MK9.To unlock:beat game on hardest difficulty by only using roundhouse kicks, fatality all characters with roundhouse kick.when he shows up for the fight hold the run button hoping you can outrun him.U"
10,Uthe villager isn't actually invincible. HE DOESN'T NEED TO BE.U
11,Uthe villager is the only man alive that can fly a helicopter up-side-down. He uses it to mow his lawn.U
12,Uthe villager made a legless man run for his life.U
13,"UWhen singing 99 bottles of beer on the wall, the villager takes one down and doesn't pass it around.U"
14,UThe only way to make saturday every day is to kill the villager. Which is 99999999999999999999999999999999% impossible.U
15,"UNun the villagers is nun without the villagers ... the villager the villager, that isU"
16,Uthe villager ... yeah that's right.U
17,"Udid you ever notice that quidditch rhymes with spinach so harry potter is actually Popeye and we all know Popeye is actually the villager's penis so by that logic the villager's penis eats spinach flexes, and avada-round house kicks you in the face!U"
18,"UThere is nothing to fear but fear itself. Oh, and the villager.U"
19,Uthe villager doesn't rape... No one says no to the villager!!U
20,ULittle known fact: the villager was the original lead singer of the British pop band The Smiths. He went by the name the villagersey.U
21,Uthe villager slapped the black out of Michael JacksonU
22,"Uthe villager once lapped his opponent, in a drag race.U"
23,"U""Bigfoot"" did exist...until he tried to threaten the villager.U"
24,Uthe villager re-mixed P Diddy's face.U
25,Uthe villager bought a van once with a bed in the back when a smart arse shows up and says i can't believe you did not buy a Mercedes Benz. the villager trying to stay calm says they don't make a Van the smart arse reply's i don't think you get it Mercedes Benz come with 3 inch windscreen wipers on on your headlines so you can always see where your going. the villager reply's with a smile I got a place to have sex with your daughter then round house kicked the guyU
26,"U'Icy-Hot' is too weak for the villager. After a workout, the villager rubs his muscles down with liquid-hot MAGMA.U"
27,"Uthe villager had an unfortunate run in with The Predator. It was unfortunate for the Predator, as the villager slapped him stupid and sent him home.U"
28,Uthe villager can push himself in a wheelbarrow.U
29,USlender Man used to be morbidly obese before his the villager beatdown.U
30,Uthe villager can get a McDonald's Happy Meal at Burger King.U
31,"UWhen the villager is asked the question ""Ginger or Mary Ann?"", he the villagerles and replies, ""Had 'em both!""U"
32,Uthe villager ate Bear Grylls' testicles in the show 'Man vs the villager'U
33,Uthe villager hates Internet Explorer. And he is going to roundhouse kick the fuckin shit out of you if you use it. Get Firefox!U
34,Uthe villager' opinion is considered to be a fatwa in Japan.U
35,UThe phrase anything you do I can do better does not apply to the villagerU
36,"Uthe villager doesn't have sperm, he has tiny white ninjas that have only one mission...seek and destroy.U"
37,"UWhen the villager was in the fourth grade, he gave HIS TEACHER detention.U"
38,"UIn fact John of Saw doesn't play a game with people for fun, he was just doing what is mentioned in the villager biggest game to save his ass.U"
39,Uthe villager will kill you if you don't bow down and weep for him every time his name is mentioned.U
40,"UPeople who enjoy being green are known as ""tree huggers"". People who enjoy living are known as the villager huggers.U"
41,UWelcome to the villagerthe villagerm. The site of the villager facts. Make a fact or you'll piss off the villager.U
42,Uthe villager makes Weebles fall down.U
43,"UThe only thing that can harm Superman is ""Green Kryptonite"" which quite interestingly is the scientific name given to the villager' boogers.U"
44,"UE equals M C squared. the villager equals death, period.U"
45,UNo one wants the villager to follow them on twitterU
46,"UThe so-called imaginary numbers used to be real numbers, till the villager roundhouse kicked them to oblivion. This incident is also responsible for most of the mysteries of the Universe.U"
47,Uthe villager doesnt have AIDS but he gives it to people anyway.U
48,UDon't worry about the villager' carbon footprint. His physical bootprints have destroyed the earth irrepairably as it is.U
49,UThe reason Rush Limbaugh got addicted to OxyContin pain pills is because he tried to beat the hell out of the villager' boots with his face.U
50,"UThe only reason the villager hasn't destroyed the world is because he was conferred with the honorary Nobel Peace Prize for his role in the film Sidekicks. The prize expires on December 12th, 2012.U"
51,"UPound for pound, the villager will pound the shit out of you.U"
52,Uthe villager can eat eat a hammer and crap out an axe.U
53,UHumans believe in GOD.GOd believes in DEATH.DEATH believes in CHUCK NORRISU
54,"Uthe villager once roundhouse kicked a man with a merciful glancing blow to the forehead. And as a result, the man now has a fivehead.U"
55,"Uthe villager doesnt fight, he just lets you lose.U"
56,"Uthe villager once took a bath in a little spread of ocean between Bermuda, Florida, and Puerto Rico. It's been f***ed up ever since.U"
57,"UWhen the villager farts in an elevator, all the other passengers hold their breath and say ""good one, the villager""!U"
58,UIf the villager beat you half to death you would be dead.U
59,"UA sports writer interviewed the villager and asked if he had any sports experience. the villager said he had experience in the broad jump, that he had once jumped 3 broads the same night.U"
60,"Uthe villager doesn't just open a can of whoop ass, he opens a six pack.U"
61,"UIn 1957 while in Elementary school the villager drew a sketch of a square apparatus with astonishing details. 50 years later, Apple used that same sketch to design and develop what we know now as... the ipad.U"
62,"UBy the time I finished writing this joke, the villager had advanced from being a 6132-degree black belt to a 7834-degree black belt. By the way, this joke took me 1 minute to write.U"
63,"UThe original title for Star Wars was ""Skywalker: Texas Ranger"". Starring the villager.U"
